otolithID,image_filename,scientificName,family,Locality,decimalLatitude,decimalLongitude,Collection_Depth,Collection_Date,Lifestage,Habitat,Platform
CMLRE/OTL/00030,CMLREOTL00030_Alepocephalus_bicolor,Alepocephalus bicolor,Alepocephalidae,Off South-West Andaman,11.16505,92.31768333,576,4/4/2016,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00006,CMLREOTL00006_Alepocephalus_blanfordii,Alepocephalus blanfordii,Alepocephalidae,Off Trivandrum,8.333083333,76.1752,949,10/26/2017,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00009,CMLREOTL00009_Aphanopus_microphthalmus,Aphanopus microphthalmus,Trichiuridae,Off Trivandrum,8.333083333,76.1752,949,10/26/2017,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00017,CMLREOTL00017_Atrobucca_nibe,Atrobucca nibe,Scinaenidae,Off Gujarat,20.31598333,69.38733333,247,2/24/2018,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00034,CMLREOTL00034_Bathyclupea_elongata,Bathyclupea elongata,Bathyclupeidae,Off Trivandrum,8.3845,76.11295,1065,9/23/2020,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00011,CMLREOTL00011_Bathypterois_atricolor,Bathypterois atricolor,Ipnopidae,Terrace of Trivandrum,8.333083333,76.1752,949,10/26/2017,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00010,CMLREOTL00010_Bathyuroconger_vicinus,Bathyuroconger vicinus,Congridae,Off Trivandrum,8.333083333,76.1752,949,10/26/2017,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00020,CMLREOTL00020_Bembrops_caudimacula,Bembrops caudimacula,Percophidae,Off Allapuzha,12.14111667,74.35111667,238,4/22/2018,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00016,CMLREOTL00016_Beryx_splendens,Beryx splendens,Berycidae,Off Allapuzha,9.4827,75.7062,327,3/3/2018,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00003,CMLREOTL00003_Chlorophthalmus_actifrons,Chlorophthalmus actifrons,Chlorophthalmidae,Off East Andaman,12.54233333,93.14616667,300,4/10/2016,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00028,CMLREOTL00028_Chlorophthalmus_corniger,Chlorophthalmus corniger,Chlorophthalmidae,Off South Andaman,9.625483333,92.73631667,362,4/6/2016,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00032,CMLREOTL00032_Coloconger_raniceps,Coloconger raniceps,Colocongridae,Off Trivandrum,8.199383333,76.5315,566,9/24/2020,Adult,Nektonic,Sagar Sampada
CMLRE/OTL/00027,CMLREOTL00027_Cubiceps_baxteri,Cubiceps baxteri,Nomeidae,Off South Andaman,12.54233333,93.14616667,300,4/10/2016,Adult,Nektonic,Sagar Sampada
