Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave
1/1/2010,Maldives,25.62268716,69.32964249,26.92346722,8.081973167,None,101,FALSE
1/8/2010,Red Sea,6.432709574,92.46803641,26.74503202,8.063280853,High,122,FALSE
1/15/2010,Maldives,-2.724145361,63.7116303,29.4836576,7.989939093,Low,119,FALSE
1/22/2010,Caribbean Sea,0.757664875,-4.444301462,25.87325022,7.963200666,Medium,135,TRUE
1/29/2010,Maldives,4.916324665,164.9313802,28.88853363,7.91948506,None,113,FALSE
2/5/2010,Galápagos,8.768521136,2.274750206,29.14959163,8.070991411,Medium,64,FALSE
2/12/2010,South China Sea,39.49329457,-138.5324907,29.89830341,8.039396743,Medium,130,FALSE
2/19/2010,Great Barrier Reef,13.51297743,-22.27967956,28.05364814,7.984334197,Medium,126,FALSE
2/26/2010,Red Sea,4.331265101,86.72110177,29.5579392,8.114351791,Medium,144,FALSE
3/5/2010,South China Sea,-2.613573651,41.795023,29.62199082,8.031555252,Low,115,FALSE
3/12/2010,Red Sea,7.518719683,-56.60314779,30.66137305,8.114394419,Low,154,FALSE
3/19/2010,Hawaiian Islands,18.89916343,114.0891407,26.70792498,8.088151412,None,133,FALSE
3/26/2010,Hawaiian Islands,5.291623908,49.41391152,27.13914921,7.934943635,Low,130,FALSE
4/2/2010,Caribbean Sea,26.31800181,74.46082093,29.6279733,7.953330508,None,82,FALSE
4/9/2010,Maldives,23.82378275,41.31976959,27.82428543,8.119449541,High,103,FALSE
4/16/2010,Maldives,-2.548889959,-75.11987474,25.45923422,8.040230611,Medium,69,TRUE
4/23/2010,Hawaiian Islands,25.36541682,68.65711769,27.50004049,8.118854659,High,66,FALSE
4/30/2010,Galápagos,30.40216401,-39.06521165,31.26620991,8.09014665,None,131,FALSE
5/7/2010,Hawaiian Islands,-4.462158872,36.57034682,29.24133247,8.001956441,High,136,FALSE
5/14/2010,Caribbean Sea,24.31660203,-5.572156916,30.46811024,8.022987098,Low,94,FALSE
5/21/2010,Caribbean Sea,8.676806512,89.74944601,28.95154092,8.085742847,None,66,FALSE
5/28/2010,Red Sea,27.23506893,-57.26591327,25.58426209,8.146180454,None,74,FALSE
6/4/2010,South China Sea,18.92064224,-54.7394668,26.5802217,8.02783781,None,164,TRUE
6/11/2010,South China Sea,18.0931456,-116.4013893,29.10601704,8.094997994,Medium,152,FALSE
6/18/2010,South China Sea,25.68476323,88.56162182,27.56167514,7.958188357,Medium,75,FALSE
6/25/2010,Hawaiian Islands,17.57345189,24.01849123,28.16397471,7.962447078,High,142,FALSE
7/2/2010,Caribbean Sea,3.552272447,42.57626714,28.26207282,8.068470088,None,121,FALSE
7/9/2010,Caribbean Sea,-16.55514813,201.139982,28.15369678,8.162737816,Medium,152,FALSE
7/16/2010,Hawaiian Islands,-7.1659658,-103.4320707,28.18713429,8.067208466,None,163,TRUE
7/23/2010,Great Barrier Reef,20.27801539,55.37612493,26.59312541,7.998237473,Medium,111,FALSE
7/30/2010,Hawaiian Islands,29.4733526,-176.9025428,28.44570651,8.060118755,High,109,FALSE
8/6/2010,Caribbean Sea,-15.44267132,141.0965776,28.51334733,8.091210592,High,145,FALSE
8/13/2010,Galápagos,6.854317427,148.3464622,27.09979976,8.110574742,None,114,FALSE
8/20/2010,Galápagos,11.84026175,40.76186592,28.20811362,8.027239162,None,90,FALSE
8/27/2010,Caribbean Sea,-11.92279534,0.537298854,29.47499878,8.082837821,Low,94,FALSE
9/3/2010,Red Sea,8.695119735,61.78857976,25.53707672,7.907244536,High,94,FALSE
9/10/2010,South China Sea,-7.888991247,40.83137278,28.27004316,7.982644679,Low,162,FALSE
